old_tag,new_tag,action,notes
A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,synonym,Abbreviated form with periods
Aboriginal people,Aboriginal people,hierarchy,parent=ethnic groups
Aboriginal people,Aboriginal people,hierarchy,parent=indigenous peoples - THEMATIC
Aboriginal people,Aboriginal people,hierarchy,parent=Indigenous peoples - THEMATIC
Aborigines' Protection Board,Aborigines' Protection Board,hierarchy,parent=indigenous peoples - THEMATIC
Aborigines' Protection Board,Aborigines' Protection Board,hierarchy,parent=government bodies
Aborigines' Protection Board,Aborigines' Protection Board,hierarchy,parent=other government bodies
Aborigines' Protection Board,Aborigines' Protection Board,hierarchy,parent=Indigenous peoples - THEMATIC
accident,accident,hierarchy,parent=Health-related events - THEMATIC
accident,accident,hierarchy,parent=Mining incidents - THEMATIC
accident,accident,hierarchy,parent=accidents
accident,accident,hierarchy,parent=health-related events - THEMATIC
accident,accident,hierarchy,parent=mining incidents - THEMATIC
accidents,accidents,hierarchy,parent=Events
Accommodation,Accommodation,hierarchy,parent=tourism & accommodation - THEMATIC
Accommodation,Accommodation,hierarchy,parent=Tourism & Accommodation - THEMATIC
accommodation and hospitality venues,accommodation and hospitality venues,hierarchy,parent=Built Environment
accommodation buildings,accommodation buildings,hierarchy,parent=Built Environment
Activities,Activities,hierarchy,parent=(Getty AAT primary facet)
Activities,Activities,hierarchy,parent=(new top-level facet)
adolescents,adolescents,hierarchy,parent=demographic groups
advertising,advertising,hierarchy,parent=communication activities
advertising,advertising,hierarchy,parent=communications & postal services - THEMATIC
advertising,advertising,hierarchy,parent=cultural activities - THEMATIC
Agents,Agents,hierarchy,parent=(Getty AAT primary facet)
agricultural accidents,agricultural accidents,hierarchy,parent=accidents
agriculture,agriculture,hierarchy,parent=economic activities
agriculture workers,agriculture workers,hierarchy,parent=occupations
alcohol & temperance,alcohol & temperance,hierarchy,parent=(thematic grouping)
alcohol consumption & behaviour,alcohol consumption & behaviour,hierarchy,parent=alcohol & temperance - THEMATIC
alcohol-related,alcohol-related,hierarchy,parent=criminal events
Alcohol-related venues,Alcohol-related venues,hierarchy,parent=alcohol & temperance - THEMATIC
Alcohol-related venues,Alcohol-related venues,hierarchy,parent=Alcohol & Temperance - THEMATIC
alcoholic beverage,alcoholic beverage,hierarchy,parent=alcoholic beverages (singular generic term)
alcoholic beverages,alcoholic beverages,hierarchy,parent=alcohol consumption & behaviour - THEMATIC
alcoholic beverages,alcoholic beverages,hierarchy,parent=consumable materials
aldermen,aldermen,hierarchy,parent=public officials
Allen,Allen,hierarchy,parent=hotelliers
Allen's Hotel,Allen's Hotel,hierarchy,parent=hotels
Allen's Hotel,hotel,merge,Possessive form referring to hotel run by Allen (hotellier) - tag as Hotel + Allen
animal,animal,hierarchy,parent=animals (singular generic term)
animal attacks,animal attacks,hierarchy,parent=livestock accidents
animal breeders,animal breeders,hierarchy,parent=agriculture workers
animal breeding,animal breeding,hierarchy,parent=animal husbandry
animal control,animal control,hierarchy,parent=public health and safety activities
animal husbandry,animal husbandry,hierarchy,parent=agriculture
animal trespass,animal trespass,merge,Alternate term for Stock trespass
animal-powered transport accidents,animal-powered transport accidents,hierarchy,parent=transport accidents
animals,animals,hierarchy,parent=Agents
animals,animals,hierarchy,parent=Environment & Weather - THEMATIC
animals,animals,hierarchy,parent=environment & weather - THEMATIC
Arts & Culture,Arts & Culture,hierarchy,parent=(thematic grouping)
assault,assault,hierarchy,parent=criminal events
assault,assault,hierarchy,parent=violent crimes - THEMATIC
Associated Concepts,Associated Concepts,hierarchy,parent=(Getty AAT primary facet)
Associated Concepts,Associated Concepts,hierarchy,parent=(conceptual facet)
athletic club,athletic club,hierarchy,parent=athletic clubs (singular generic term)
athletic clubs,athletic clubs,hierarchy,parent=sports clubs
athletics,athletics,hierarchy,parent=recreation activities
athletics,athletics,hierarchy,parent=sport & recreation - THEMATIC
athletics,athletics,keep,Substring coincidence - semantically unrelated concepts (automated triage)
Austin family,Austin family,hierarchy,parent=families
Australian Kerosene Oil and Mineral Company,Australian Kerosene Oil and Mineral Company,hierarchy,parent=mining companies
Australian Kerosene Shale and Oil Company,Australian Kerosene Oil and Mineral Company,synonym,Variant name for Australian Kerosene Oil and Mineral Company
ball,ball,hierarchy,parent=social events
ball,ball,keep,Substring coincidence - semantically unrelated concepts (automated triage)
band,band,hierarchy,parent=bands
band,band,keep,Substring coincidence - semantically unrelated concepts (automated triage)
bands,bands,hierarchy,parent=performance groups
bank,bank,hierarchy,parent=commercial buildings
bank,bank,hierarchy,parent=financial institutions
bank,bank,keep,Substring coincidence - semantically unrelated concepts (automated triage)
bankruptcy,bankruptcy,hierarchy,parent=Economic distress - THEMATIC
bankruptcy,bankruptcy,hierarchy,parent=Economic hardship - THEMATIC
bankruptcy,bankruptcy,hierarchy,parent=legal events
bankruptcy,bankruptcy,hierarchy,parent=Legal outcomes - THEMATIC
Bashford,Bashford,hierarchy,parent=hotelliers
Bathurst,Bathurst,hierarchy,parent=towns
bazaar,bazaar,hierarchy,parent=social events
beer,beer,hierarchy,parent=alcoholic beverages
beer sales,beer sales,hierarchy,parent=liquor trade
Belgravia Hotel,Belgravia Hotel,hierarchy,parent=hotels
bicycle club,bicycle club,hierarchy,parent=bicycle clubs
bicycle clubs,bicycle clubs,hierarchy,parent=sports clubs
bigamy,bigamy,hierarchy,parent=criminal events
bigamy,bigamy,hierarchy,parent=other crimes - THEMATIC
Biles,Biles,hierarchy,parent=hotelliers
billiard,billiards,merge,Singular form merged into plural - standardise to Billiards
billiard licence,billiard licence,hierarchy,parent=licences
billiard licensing,billiard licensing,hierarchy,parent=licensing
billiards,billiards,hierarchy,parent=recreation activities
billiards,billiards,hierarchy,parent=sport & recreation - THEMATIC
Blackheath,Blackheath,hierarchy,parent=towns
Blackheath,Blackheath,keep,Substring coincidence - semantically unrelated concepts (automated triage)
boarding house,boarding house,hierarchy,parent=boarding houses
boarding houses,boarding houses,hierarchy,parent=accommodation buildings
boarding houses,boarding houses,hierarchy,parent=Domestic accommodation - THEMATIC
boarding houses,boarding houses,hierarchy,parent=hospitality businesses
boarding houses,boarding houses,keep,Substring coincidence - semantically unrelated concepts (automated triage)
Bonnie Doon Track,Bonnie Doon Track,hierarchy,parent=roads
brandy,brandy,hierarchy,parent=spirits
Break Neck Gully,Break Neck Gully,hierarchy,parent=gullies
Brown,Brown,hierarchy,parent=hotelliers
Brown's Hotel,Brown's Hotel,hierarchy,parent=hotels
Brown's Hotel,hotel,merge,Possessive form referring to hotel run by Brown (hotellier) - tag as Hotel + Brown
Brydon family,Brydon family,hierarchy,parent=families
Built Environment,Built Environment,hierarchy,parent=(Getty AAT primary facet)
Built Environment,Built Environment,hierarchy,parent=(new top-level facet)
Burragorang,Burragorang,hierarchy,parent=towns
businesses,businesses,hierarchy,parent=Economy & Labour - THEMATIC
Capertee,Capertee,hierarchy,parent=towns
Cardinal Moran,Cardinal Moran,hierarchy,parent=clergy
Cardinal Moran,Cardinal Moran,hierarchy,parent=Religion - THEMATIC (religious figure)
Carrington,Carrington,hierarchy,parent=Greater Katoomba
Carrington,Carrington,hierarchy,parent=Katoomba
Carrington Hotel,Carrington Hotel,hierarchy,parent=hotels
cattle,cattle,hierarchy,parent=domestic animals
cattle straying,cattle straying,merge,Use-for term for Stock trespass
cattle trucking yard,cattle trucking yard,hierarchy,parent=cattle trucking yards
cattle trucking yards,cattle trucking yards,hierarchy,parent=transport infrastructure
caves & geological features,caves & geological features,hierarchy,parent=natural features
Centennial Hotel,Centennial Hotel,hierarchy,parent=hotels
charitable and welfare activities,charitable and welfare activities,hierarchy,parent=Activities
charitable and welfare activity,charitable and welfare activity,hierarchy,parent=charitable and welfare activities (singular generic term)
charity,charity,hierarchy,parent=charitable and welfare activities
charity,charity,hierarchy,parent=Economic hardship - THEMATIC
chess and draughts club,chess and draughts club,hierarchy,parent=cultural societies
childhood & adolescence,childhood & adolescence,hierarchy,parent=family & domestic life - THEMATIC
children,children,hierarchy,parent=demographic groups
children,children,hierarchy,parent=family members by demographic - THEMATIC
children,children,hierarchy,parent=Vulnerable populations - THEMATIC
Chinese community,Chinese community,hierarchy,parent=marginalised groups - THEMATIC
Chinese community,Chinese community,hierarchy,parent=Marginalised groups - THEMATIC
Chinese people,Chinese people,hierarchy,parent=Chinese community - THEMATIC
Chinese people,Chinese people,hierarchy,parent=ethnic groups
choir,choir,hierarchy,parent=choirs
choirs,choirs,hierarchy,parent=performance groups
church (building),church (building),hierarchy,parent=churches (singular generic term)
churches,churches,hierarchy,parent=religious buildings
churches,churches,hierarchy,parent=religious organisations
